HotelName,HotelDescription,PriceRange
Anahtar Apart Hotel,"The Anahtar Apart Hotel is located only 100 m away from the beach and 1 km from the centre.Hotel amenities include a swimming pool, restaurant, 24-hour reception, laundry service and safety box at reception. The apartments are equipped with bathroom/shower, TV, telephone, kitchenette and balcony. Address: Kizlarpinari Mah. Ata Cad Anahtar Cikmazi N01, 07400, Alanya, Turkey",EUR 8 - EUR 16
The Delfini,"The Delfini Hotel enjoys a quiet and picturesque location in the island Aegina, in the wonderful resort of Agia Marina, surrounded by pine trees, just a few minutes walk from the beach and the main street.Conveniently located near the port, the hotel offers comfortable and spacious rooms with twin beds, balconies and private facilities.The hotel reserves the right to preauthorise and charge credit cards at the time of booking and prior to arrival.Check-in 15:00 - 22:00",EUR 32 - EUR 65
Holiday Inn Express South,"This Hotel is located in the business district of Amsterdam. Van Boshuizenstraat station provides links by tram, bus and metro to the RAI Congress Centre, VU Medical Center and the city center of Amsterdam. The rooms are carpeted and include desks. Every morning a continental breakfast is served. If you prefer, guests can request a Kosher breakfast and snacks. Schiphol Airport is 14 km away.",EUR 59 - EUR 118
Apollo,"The hotel is located in a central position at Karaiskaki Square, which allows guests to move easily around the city and sights of Athens. The metro station Metaxourghio is just 500 m away providing easy access to Plaka, Athens old town and the Acropolis. This hotel comprises a total of 51 rooms on 6 floors. All public areas are spacious in design. The entrance area has a 24-hour reception, a currency exchange facility and lift access. It also has the ''HR Bar'', a restaurant and a roof garden with a breathtaking view of the Acropolis. Further amenities include a satellite TV room as well as room service and car park for those arriving by car. The well-furnished rooms offer luxury with maximum comfort and convenience. All rooms come fully-equipped as standard including a satellite/ cable TV, Internet access and either a balcony or a terrace.",EUR 41 - EUR 82
Ramira City Hotel - All Inclusive - Adults Only,"Property Desc:Property Location A stay at Ramira City Hotel - All Inclusive - Adults Only places you in the heart of Alanya, within a 15-minute walk of Alanya Aquapark and Kleopatra Beach. This all-inclusive property is 0.5 mi (0.9 km) from Damlatas Caves and 1.2 mi (1.9 km) from Alanya Harbor.Rooms Make yourself at home in one of the 84 air-conditioned rooms featuring LCD televisions. Rooms have private balconies. Complimentary wireless Internet access keeps you connected, and satellite programming is available for your entertainment. Bathrooms with showers are provided.Amenities Don't miss out on recreational opportunities including an outdoor pool and a fitness center. Additional features at this Art Deco property include complimentary wireless Internet access, concierge services, and a reception hall.Dining This property is all inclusive. Rates include meals and beverages at onsite dining establishments. Charges may be applied for dining at some restaurants, special dinners and dishes, some beverages, and other amenities. Enjoy a meal at the restaurant or snacks in the property's coffee shop/café. Mingle with other guests at the complimentary reception, held daily. Unwind at the end of the day with a drink at the bar/lounge or the poolside bar. A complimentary buffet breakfast is served daily",EUR 62 - EUR 125
Villa Orania,"EPS Location 1 and 2 When you stay at Villa Orania in Bad Gastein, you'll be in the historical district, just steps from Gastein Ski Resort and Felsentherme Spa. This spa aparthotelNonrefundable",EUR 263 - EUR 526
Zum Stern,"Property Location When you stay at Hotel Zum Stern in Bad Hofgastein, you'll be next to a golf course, just steps from Gastein Ski Resort and 13 minutes by foot from GasteinerNonrefundable",EUR 219 - EUR 438
Best Western Blue Tower,"BEST WESTERN Hotel Blue Tower is perfectly located in Amsterdam. Only 10 kilometres away from Schiphol International Airport and with direct access to the tram that takes you to the most important tourist and business addresses in the centre.Your room is always equipped with free wireless internet, free coffee and tea facilities and of course our comfortable beds. At the higher floors of the hotel you can enjoy a panoramic view over the city.Our reception staff is happy to assist you with your questions and requests and their large knowledge of the city helps to make your stay as convenient as possible. After a good night rest we invite you to our Restaurant Saffron to enjoy our extensive breakfast buffet with fresh fruit juices, a variety of bread and a choice of cold and warm dishes.In the evening you are welcome to enjoy dinner in our restaurant Saffron. Our chef surprises you with culinary French-Chinese dishes that form an unique combination. Enjoy your stay.From the date of: 01/01/2020 City Tax of 7% + 3 euros per person and per night to be paid directly at the hotel.",EUR 38 - EUR 77
Apartamentos Canillo Pie De Pistas 3000,,EUR 0 - EUR 0
Miranta,"Property Location When you stay at Miranta Hotel in Aegina, you'll be near the beach, within a 5-minute drive of Archaeological Museum of Aegina and Marathonas Beach. This hotel isNonrefundable",EUR 35 - EUR 70
Victoria Capitan Apartment,"Property Location Located in Athens (Athens City Centre), this apartment is within a 15-minute walk of National Archaeological Museum of Athens and Omonia Square. This apartment isNonrefundable",EUR 33 - EUR 67
Anonymous Beach,"An elegant and exclusive 3-star hotel consisting of 90 rooms. It stands directly on the famous and panoramic SANDY BAY in the famous resort of AYIA NAPA. The size of the hotel and the personal friendly service creates an atmosphere of a big family, which ensures an unforgettable holiday. Ideally located within the area of Ayia Napa. Only 15 minutes walk from the town centre, facing a famous bay with white sand. Accompanied with exotic gardens and trees offers privacy and relaxation.",EUR 0 - EUR 0
Haus Franzis,"Haus Franzis is located a 5-minute walk from the center of Bad Gastein with its famous waterfall, and only 2297 feet from the Felsentherme Spa and the ski elevators. It offers apartments with a fully equipped kitchen, free WiFi, free parking and a playground. A dishwasher, a flat-screen TV with satellite channels, a private bathroom with a hairdryer and views of the mountains along the Gastein Valley are further features of each apartment. A ski storage room with a boot dryer is available as well at Haus Franzis. The nearest bus stop is only 656 feet from the house. Hiking paths, restaurants and shops can be found in immediate vicinity. The Gastein Golf Course is 1.6 mi away and the Gasteiner Heilstollen Radon Gallery is 2.2 mi away.WiFi is available in the hotel rooms and is free of charge. Free private parking is available on site (reservation is not needed). Pets are not allowed. All children are welcome. One child under 2 years is charged EUR 20 per stay when using existing beds. One child under 3 years stays free of charge in a crib. One older child or adult is charged EUR 20 per night in an extra bed.",EUR 51 - EUR 103
Derby Ah,"Providing free WiFi, Derby AH offers rooms in Alba Iulia, 600 metres from Alba Iulia Citadel - The First Gate. Boasting a 24-hour front desk, this property also provides guests with a terrace. The guest house provides a shared lounge. Guest rooms in the guest house are equipped with a flat-screen TV with cable channels. Every room is equipped with a coffee machine, while selected rooms have a kitchenette with a microwave. All rooms are equipped with a seating area. Cycling is among the activities that guests can enjoy near Derby ApartHotel. Alba Carolina Citadel is 600 metres from the accommodation. Sibiu International Airport is 71 km away.WiFi is available in all areas and is free of charge. Free public parking is possible at a location nearby (reservation is not needed). Pets are not allowed. All children are welcome. One child under 6 years stays free of charge when using existing beds. There is no capacity for extra beds in the room. The maximum number of total guests in a room is 5. There is no capacity for cots in the room.",EUR 34 - EUR 68
